ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_publicado,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_localizacao,ocorrencia_DT,ocorrencia_mes,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
10,ACIDENTE,VIAMÃO - RS,RS,,09/01/2012,13:30:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-09-01 13:30:00,9.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTUDD,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1987.0,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0
11,INCIDENTE,PORTO ALEGRE - RS,RS,SBPA,09/01/2012,13:36:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-09-01 13:36:00,9.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PTWRS,PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1997.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
12,INCIDENTE GRAVE,MARABÁ - PA,PA,SBMA,11/01/2012,11:21:00,SIM,FINALIZADA,SIM,0,1,NÃO,-5.3677777778 / -49.1383333333,2012-11-01 11:21:00,11.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PRJMR,,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2005.0,AVIÃO,PARTICULAR,JOÃO CORREA DA ROCHA,CARAJÁS,SUBIDA,PRIVADA,LEVE,0
13,ACIDENTE,ELDORADO - SP,SP,,11/01/2012,13:45:00,SIM,FINALIZADA,SIM,1,1,NÃO,-24.5888888889 / -48.2113888889,2012-11-01 13:45:00,11.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PTGQT,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1977.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,1
14,INCIDENTE,RIO BRANCO - AC,AC,,13/01/2012,18:15:00,SIM,FINALIZADA,NÃO,0,1,NÃO,,2012-01-13 18:15:00,1.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRRHF,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,2948,8.0,1969.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
15,ACIDENTE,CÁCERES - MT,MT,,14/01/2012,10:00:00,,FINALIZADA,NÃO,0,1,NÃO,-16.0388888889 / -57.5958333333,2012-01-14 10:00:00,1.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PRRGF,PARTICULAR,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1633,1633,6.0,1999.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,DESTRUÍDA,3
16,INCIDENTE,MACAÉ - RJ,RJ,,14/01/2012,10:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-14 10:30:00,1.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PRSEF,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2003.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
17,INCIDENTE,BRASÍLIA - DF,DF,SBBR,16/01/2012,16:47:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-16 16:47:00,1.0,SOPRO DE REATOR,OUTROS | SOPRO DE REATOR,OTHR,N70FL,PARTICULAR,AVIÃO,DASSAULT AVIATION,FALCON 7X,,PISTÃO,TRIMOTOR,31298,31298,0.0,,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
18,INCIDENTE GRAVE,CAMOCIM - CE,CE,SNWC,17/01/2012,18:25:00,SIM,FINALIZADA,SIM,0,1,NÃO,-2.8966666667 / -40.8569444444,2012-01-17 18:25:00,1.0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,PTESI,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2075,2075,6.0,1978.0,AVIÃO,TÁXI AÉREO,PINTO MARTINS,CAMOCIM,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
19,INCIDENTE GRAVE,MUANÁ - PA,PA,,18/01/2012,17:35:00,SIM,FINALIZADA,SIM,0,1,NÃO,-1.1966666667 / -49.2675,2012-01-18 17:35:00,1.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTEOT,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1542,7.0,1977.0,AVIÃO,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,FAZENDA SANTO AMBRÓSIO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
20,INCIDENTE,BELO HORIZONTE - MG,MG,SBPR,18/01/2012,13:10:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-18 13:10:00,1.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PRRMY,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1977.0,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
21,ACIDENTE,BRASÍLIA - DF,DF,,19/01/2012,21:30:00,SIM,FINALIZADA,SIM,2,1,NÃO,-15.8197222222 / -47.8747222222,2012-01-19 21:30:00,1.0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PPMOF,,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,TURBOEIXO,MONOMOTOR,1088,1088,4.0,2000.0,HELICÓPTERO,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,SANTA GENOVEVA/GOIÂNIA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
22,ACIDENTE,CACHOEIRA DOURADA - GO,GO,,20/01/2012,21:00:00,SIM,FINALIZADA,SIM,0,1,NÃO,-18.4319444444 / -49.4430555556,2012-01-20 21:00:00,1.0,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,PTUEW,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1989.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
23,INCIDENTE,CUIABÁ - MT,MT,,20/01/2012,08:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-20 08:00:00,1.0,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,SCF-NP,PRVBO,REGULAR,AVIÃO,BOEING COMPANY,737-73V,B737,JATO,BIMOTOR,62595,62595,152.0,2002.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
24,INCIDENTE GRAVE,RONDONÓPOLIS - MT,MT,SWRD,20/01/2012,17:00:00,SIM,FINALIZADA,SIM,0,1,SIM,-16.5852777778 / -54.7241666667,2012-01-20 17:00:00,1.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PTLNH,,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1542,5.0,1982.0,AVIÃO,PARTICULAR,FAZENDA FONTANA,RONDONÓPOLIS,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
25,INCIDENTE GRAVE,RONDONÓPOLIS - MT,MT,SWRD,20/01/2012,17:00:00,SIM,FINALIZADA,SIM,0,1,SIM,-16.5852777778 / -54.7241666667,2012-01-20 17:00:00,1.0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,PTLNH,,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1542,5.0,1982.0,AVIÃO,PARTICULAR,FAZENDA FONTANA,RONDONÓPOLIS,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
26,INCIDENTE GRAVE,BRASÍLIA - DF,DF,SBBR,21/01/2012,14:50:00,SIM,FINALIZADA,SIM,4,1,NÃO,,2012-01-21 14:50:00,1.0,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO,F-NI,PROAF,,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1992.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0
27,ACIDENTE,BRAGANÇA PAULISTA - SP,SP,SDVH,21/01/2012,23:30:00,,FINALIZADA,NÃO,0,1,SIM,-23.005278 / -46.636944,2012-01-21 23:30:00,1.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTWBQ,,AVIÃO,BEECH AIRCRAFT,B90,BE9L,TURBOÉLICE,BIMOTOR,4377,4377,7.0,1969.0,AVIÃO,TÁXI AÉREO,,,POUSO,TÁXI AÉREO,DESTRUÍDA,0
28,INCIDENTE GRAVE,UBERLÂNDIA - MG,MG,SBUL,21/01/2012,20:45:00,,,NÃO,0,1,NÃO,,2012-01-21 20:45:00,1.0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,PRZRB,EXPERIMENTAL,AVIÃO,JOSE ROBERTO BARBOSA,BUMERANGUE EX-27 CROSS-CONTRY,ZZZZ,PISTÃO,MONOMOTOR,1260,1260,4.0,2011.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
29,INCIDENTE,SÃO PAULO - SP,SP,SBMT,21/01/2012,11:15:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-21 11:15:00,1.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,PTVGT,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1988.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
30,ACIDENTE,RIO DE JANEIRO - RJ,RJ,SBJR,22/01/2012,20:25:00,SIM,FINALIZADA,SIM,0,1,SIM,-22.9875 / -43.37,2012-01-22 20:25:00,1.0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,PTDHU,,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1633,4.0,1967.0,AVIÃO,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
31,ACIDENTE,RIO DE JANEIRO - RJ,RJ,SBJR,22/01/2012,20:25:00,SIM,FINALIZADA,SIM,0,1,SIM,-22.9875 / -43.37,2012-01-22 20:25:00,1.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTDHU,,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1633,4.0,1967.0,AVIÃO,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
32,INCIDENTE GRAVE,RIO DE JANEIRO - RJ,RJ,,22/01/2012,19:05:00,SIM,FINALIZADA,SIM,2,1,NÃO,-23.0477777778 / -43.5369444444,2012-01-22 19:05:00,1.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTYLS,,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1997.0,HELICÓPTERO,MÚLTIPLA,SANTOS DUMONT,ANGRA DOS REIS,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0
33,INCIDENTE,RECIFE - PE,PE,SBRF,22/01/2012,23:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-22 23:00:00,1.0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,DCHGN,PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,HAWKER 900XP,,JATO,BIMOTOR,12901,12901,0.0,,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
34,ACIDENTE,TASSO FRAGOSO - MA,MA,,23/01/2012,09:33:00,SIM,FINALIZADA,SIM,2,1,NÃO,-8.2775 / -45.9561111111,2012-01-23 09:33:00,1.0,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,PTUDH,,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1988.0,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2
35,ACIDENTE,ITAPURANGA - GO,GO,,25/01/2012,22:00:00,,,NÃO,0,1,NÃO,,2012-01-25 22:00:00,1.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PPXRB,EXPERIMENTAL,AVIÃO,,ACROBATA,ZZZZ,PISTÃO,MONOMOTOR,1467,1467,2.0,2007.0,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,1
36,INCIDENTE,VITÓRIA - ES,ES,SBVT,25/01/2012,13:36:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-25 13:36:00,1.0,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,PRLDH,TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
37,INCIDENTE,SÃO PAULO - SP,SP,SBMT,25/01/2012,23:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-25 23:00:00,1.0,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,PREEE,PARTICULAR,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1361,1361,4.0,2007.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
38,INCIDENTE,RIBEIRÃO PRETO - SP,SP,,25/01/2012,09:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-25 09:30:00,1.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PRPSQ,REGULAR,AVIÃO,EMBRAER,EMB-145MP,E145,JATO,BIMOTOR,20990,20990,55.0,2000.0,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
39,INCIDENTE,BELO HORIZONTE - MG,MG,SBBH,26/01/2012,17:00:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-26 17:00:00,1.0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,PRSBM,PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,C90GTI,BE9L,TURBOÉLICE,BIMOTOR,4581,4581,8.0,2008.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
40,INCIDENTE,JOINVILLE - SC,SC,SBJV,27/01/2012,14:45:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-27 14:45:00,1.0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,PTRTW,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1983.0,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
41,ACIDENTE,CAMPOS LINDOS - TO,TO,,28/01/2012,18:35:00,SIM,FINALIZADA,SIM,0,1,NÃO,-23.0088888889 / -47.1419444444,2012-01-28 18:35:00,1.0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PTEZU,,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,7.0,1979.0,AVIÃO,PARTICULAR,PARAÍSO DO TOCANTINS,BALSAS,POUSO,PRIVADA,SUBSTANCIAL,0
42,ACIDENTE,RIO DE JANEIRO - RJ,RJ,,30/01/2012,13:55:00,SIM,FINALIZADA,SIM,0,1,NÃO,,2012-01-30 13:55:00,1.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PROEA,,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,2005.0,HELICÓPTERO,INSTRUÇÃO,JACAREPAGUÁ,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
43,INCIDENTE,PELOTAS - RS,RS,,30/01/2012,21:30:00,,FINALIZADA,NÃO,0,1,NÃO,,2012-01-30 21:30:00,1.0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PTJEH,TÁXI AÉREO,AVIÃO,PIPER AIRCRAFT,PA-31-350,PA31,PISTÃO,BIMOTOR,3175,3175,8.0,1973.0,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
