ocorrencia_classificacao,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
12,INCIDENTE GRAVE,11.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2005.0,PARTICULAR,JOÃO CORREA DA ROCHA,CARAJÁS,SUBIDA,PRIVADA,LEVE,0
13,ACIDENTE,13.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1977.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,1
14,INCIDENTE,18.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,PIPER AIRCRAFT,PA-31,PA31,PISTÃO,BIMOTOR,2948,2948,8.0,1969.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
15,ACIDENTE,10.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,BEECH AIRCRAFT,A36,BE36,PISTÃO,MONOMOTOR,1633,1633,6.0,1999.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,DESTRUÍDA,3
16,INCIDENTE,10.0,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2003.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,LEVE,0
17,INCIDENTE,16.0,1,NÃO,SOPRO DE REATOR,OUTROS | SOPRO DE REATOR,OTHR,AVIÃO,DASSAULT AVIATION,FALCON 7X,ULAC,PISTÃO,TRIMOTOR,31298,31298,0.0,2012.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,NENHUM,0
18,INCIDENTE GRAVE,18.0,1,NÃO,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2075,2075,6.0,1978.0,TÁXI AÉREO,PINTO MARTINS,CAMOCIM,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
19,INCIDENTE GRAVE,17.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1542,7.0,1977.0,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,FAZENDA SANTO AMBRÓSIO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
20,INCIDENTE,13.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1977.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
21,ACIDENTE,21.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,HELICÓPTERO,ROBINSON HELICOPTER,R44,R44,TURBOEIXO,MONOMOTOR,1088,1088,4.0,2000.0,PARTICULAR,PRESIDENTE JUSCELINO KUBITSCHEK,SANTA GENOVEVA/GOIÂNIA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
22,ACIDENTE,21.0,1,NÃO,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1989.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
23,INCIDENTE,8.0,1,NÃO,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,SCF-NP,AVIÃO,BOEING COMPANY,737-73V,B737,JATO,BIMOTOR,62595,62595,152.0,2002.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
24,INCIDENTE GRAVE,17.0,1,SIM,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1542,5.0,1982.0,PARTICULAR,FAZENDA FONTANA,RONDONÓPOLIS,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
25,INCIDENTE GRAVE,17.0,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,AVIÃO,BEECH AIRCRAFT,F33A,BE33,PISTÃO,MONOMOTOR,1542,1542,5.0,1982.0,PARTICULAR,FAZENDA FONTANA,RONDONÓPOLIS,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
26,INCIDENTE GRAVE,14.0,1,NÃO,FOGO EM VOO,FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO,F-NI,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,44450,44450,107.0,1992.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0
27,ACIDENTE,23.0,1,SIM,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,BEECH AIRCRAFT,B90,BE9L,TURBOÉLICE,BIMOTOR,4377,4377,7.0,1969.0,TÁXI AÉREO,FORA DE AERODRAMO,FORA DE AERODRAMO,POUSO,TÁXI AÉREO,DESTRUÍDA,0
28,INCIDENTE GRAVE,20.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,JOSE ROBERTO BARBOSA,BUMERANGUE EX-27 CROSS-CONTRY,ZZZZ,PISTÃO,MONOMOTOR,1260,1260,4.0,2011.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
29,INCIDENTE,11.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1988.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
30,ACIDENTE,20.0,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1633,4.0,1967.0,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
31,ACIDENTE,20.0,1,SIM,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,PIPER AIRCRAFT,PA-30,PA30,PISTÃO,BIMOTOR,1633,1633,4.0,1967.0,INSTRUÇÃO,FRANCISCO DE ASSIS,SANTOS DUMONT,POUSO,INSTRUÇÃO,SUBSTANCIAL,0
32,INCIDENTE GRAVE,19.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1997.0,MÚLTIPLA,SANTOS DUMONT,ANGRA DOS REIS,CRUZEIRO,NÃO REGULAR,SUBSTANCIAL,0
33,INCIDENTE,23.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,HAWKER BEECHCRAFT,HAWKER 900XP,ULAC,JATO,BIMOTOR,12901,12901,0.0,2012.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
34,ACIDENTE,9.0,1,NÃO,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,SCF-NP,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1988.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2
35,ACIDENTE,22.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,AVIÃO,CESSNA AIRCRAFT,ACROBATA,ZZZZ,PISTÃO,MONOMOTOR,1467,1467,2.0,2007.0,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,1
36,INCIDENTE,13.0,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2009.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
37,INCIDENTE,23.0,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,AVIÃO,CIRRUS DESIGN,SR20,SR20,PISTÃO,MONOMOTOR,1361,1361,4.0,2007.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
38,INCIDENTE,9.0,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,AVIÃO,EMBRAER,EMB-145MP,E145,JATO,BIMOTOR,20990,20990,55.0,2000.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0
39,INCIDENTE,17.0,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,AVIÃO,HAWKER BEECHCRAFT,C90GTI,BE9L,TURBOÉLICE,BIMOTOR,4581,4581,8.0,2008.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
40,INCIDENTE,14.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1983.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
41,ACIDENTE,18.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,2073,2073,7.0,1979.0,PARTICULAR,PARAÍSO DO TOCANTINS,BALSAS,POUSO,PRIVADA,SUBSTANCIAL,0
42,ACIDENTE,13.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,2005.0,INSTRUÇÃO,JACAREPAGUÁ,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0
43,INCIDENTE,21.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,PIPER AIRCRAFT,PA-31-350,PA31,PISTÃO,BIMOTOR,3175,3175,8.0,1973.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
44,ACIDENTE,18.0,1,NÃO,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,MARECHAL RONDON,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
45,ACIDENTE,18.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,CESSNA AIRCRAFT,210L,C210,PISTÃO,MONOMOTOR,1723,1723,6.0,1973.0,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,MARECHAL RONDON,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
46,ACIDENTE,14.0,1,NÃO,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,1990.0,TÁXI AÉREO,TANGARÁ DA SERRA,MARECHAL RONDON,POUSO,PRIVADA,SUBSTANCIAL,0
47,INCIDENTE,12.0,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2003.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0
48,INCIDENTE,13.0,1,NÃO,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,EC35,TURBOEIXO,BIMOTOR,2910,2910,8.0,2007.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
49,ACIDENTE,21.0,1,NÃO,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,AVIÃO,AIR TRACTOR,AT-401B,AT3P,PISTÃO,MONOMOTOR,2722,2722,1.0,1999.0,AGRÍCOLA,FILIAL CAMPO FLORIDO,FILIAL CAMPO FLORIDO,CRUZEIRO,AGRÍCOLA,SUBSTANCIAL,0
50,INCIDENTE,22.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,61235,61235,156.0,1991.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0
51,INCIDENTE,23.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,EMBRAER,EMB-500,E50P,JATO,BIMOTOR,4750,4750,6.0,2010.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
52,INCIDENTE,2.0,1,NÃO,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,AVIÃO,BOEING COMPANY,767-432ER,B738,JATO,BIMOTOR,204120,204120,0.0,2002.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,,LEVE,0
53,INCIDENTE,14.0,1,NÃO,OUTROS,OUTROS,OTHR,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2008.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
54,ACIDENTE,20.0,1,NÃO,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2000.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0
55,INCIDENTE,17.0,1,NÃO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,AVIÃO,CESSNA AIRCRAFT,150M,C150,PISTÃO,MONOMOTOR,726,726,2.0,1976.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,INSTRUÇÃO,NENHUM,0
56,INCIDENTE,20.0,1,NÃO,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR | COM ROTOR,SCF-PP,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,1452,1452,5.0,1983.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,TÁXI AÉREO,LEVE,0
57,ACIDENTE,19.0,1,NÃO,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1993.0,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
58,INCIDENTE,14.0,1,NÃO,F.O.D.,OUTROS | F.O.D.,OTHR,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,S76,TURBOEIXO,BIMOTOR,4763,4763,14.0,1980.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
59,INCIDENTE,18.0,1,NÃO,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,OTHR,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,79000,79000,194.0,2006.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
60,INCIDENTE,20.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,50300,50300,106.0,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
61,ACIDENTE,16.0,1,SIM,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,AVIÃO,PIPER AIRCRAFT,PA-18,PA18,PISTÃO,MONOMOTOR,680,680,2.0,1950.0,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0
62,ACIDENTE,16.0,1,SIM,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,AVIÃO,PIPER AIRCRAFT,PA-18,PA18,PISTÃO,MONOMOTOR,680,680,2.0,1950.0,INSTRUÇÃO,AEROPORTO ESTADUAL DE JUNDIAÍ,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0
63,INCIDENTE GRAVE,14.0,1,NÃO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2007.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,LEVE,0
64,ACIDENTE,20.0,1,NÃO,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OTHR,AVIÃO,AIRBUS INDUSTRIE,A340,A320,JATO,BIMOTOR,237000,237000,0.0,2012.0,REGULAR,ADOLFO SUÁREZ MADRID–BARAJAS AIRPORT,ANTONIO CARLOS JOBIM / GALEÃO,DESCIDA,REGULAR,NENHUM,0
