codigo_ocorrencia4,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_dias_para_feedback
12,45412,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves agrícolas.",CUMPRIDA,ANAC,114.0
13,45412,"Desenvolver ações voltadas para as escolas de formação de pilotos aeroagrícolas, com ênfase para os fatores contribuintes para nesse acidente.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,832.0
14,45487,"Realizar auditoria na Empresa Norte Jet, a fim de verificar adequabilidade dos registros de manutenção praticados pela Empresa, bem como aspectos gerenciais e de supervisão.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,222.0
15,45487,"Realizar auditoria no Programa de Treinamento de Operações dos tripulantes da Empresa Norte Jet, a fim de verificar adequabilidade ao disposto na IAC 135-1002, Normas para Elaboração e Análise do Programa de Treinamento de Operações para Operadores de Transporte Aéreo, regidos pelo RBAC 135, enfatizando, no currículo de solo, o treinamento das diferenças entre as aeronaves previstas na Especificação Operativa da Empresa.",CUMPRIDA,ANAC,131.0
16,45487,Divulgar aos operadores regulados pelo RBAC 135 os ensinamentos colhidos nesta investigação.,CUMPRIDA,ANAC,71.0
17,45490,"Intensificar a fiscalização nas atividades que ocorrem em SBJC, de modo a disciplinar a forma de contratação de pilotos freelancer junto aos proprietários, operadores e exploradores de aeronaves que operam a partir daquele aeródromo, com enfoque para um adequado processo de seleção e valorização da segurança de voo.",NÃO CUMPRIDA,ANAC,1254.0
18,45525,"Reavaliar a capacitação da Empresa VIMAER - Vidotti Manutenção de Aeronaves Ltda. em realizar a manutenção nas aeronaves modelo AT-401B (Air Tractor), com ênfase na utilização adequada de peças no motor da aeronave, em conformidade com as especificações do fabricante.",AGUARDANDO RESPOSTA,ANAC,
19,45525,"Verificar o processo de aquisição, conferência, catalogação e instalação de peças aeronáuticas por parte da VIMAER - Vidotti Manutenção de Aeronaves Ltda., no intuito de assegurar a utilização de partes genuínas aprovadas pela agência reguladora e pelo fabricante da aeronave, a fim de se evitar a utilização de peças inadequadas nos sistemas das aeronaves.",AGUARDANDO RESPOSTA,ANAC,
20,45528,"Realizar gestões junto à INFRAERO-BE, afim de que seja revisado o PLEM do Aeroporto Val de Cans (SBBE), visando à adequação dos procedimentos para o completo atendimento às emergências aeronáuticas na área da Baía do Guajará, levando em consideração o modelo de aeronave de maior porte com operação prevista para o aeródromo.",CUMPRIDA,ANAC,387.0
21,45528,"Tendo em vista que a aeronave estava registrada na categoria de Serviços Aéreos Privados (TPP), e estava realizando o transporte de enfermo, sem que fosse homologada para o tipo de serviço, e que durante a investigação verificou-se que a aeronave havia sido comprada por particular e estaria sendo preparada para compor a frota da empresa Tail Táxi-Aéreo Ltda., realizar uma auditoria na respectiva empresa, com a finalidade de verificar a aderência aos regulamentos.",NÃO CUMPRIDA,ANAC,39.0
22,45528,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.",CUMPRIDA,ANAC,174.0
23,45571,"Atuar junto ao GRAESP/PA que escale para compor tripulação, somente pessoal devidamente habilitado, ou seja, com as habilitações e certificados válidos.",CUMPRIDA,ANAC,186.0
24,45571,"Atuar junto ao GRAESP/PA para que adote brifim de emergência aos ocupantes, antes da decolagem, alertando sobre o momento correto de abandonar a aeronave, de modo a evitar acidentes com a pá do rotor principal.",CUMPRIDA,ANAC,186.0
25,45571,"Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta tome providencias para que todos os serviços de reparo nas pás de rotores não previstos nos manuais de manutenção do operador sejam efetuados pelo fabricante ou por oficina devidamente credenciada.",CUMPRIDA,ANAC,55.0
26,45571,"Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta providencie meios para capacitar os mantenedores a avaliar e executar reparos em pás no nível previsto pelo fabricante para oficinas homologadas.",CUMPRIDA,ANAC,55.0
27,45571,"Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta adeque a quantidade de mantenedores e inspetores na base Belém, de modo a atender a demanda dos serviços envolvendo as aeronaves em operação naquela base.",CUMPRIDA,ANAC,55.0
28,45571,"Realizar gestões junto ao GRAESP, a fim de que este elabore um programa de treinamento abrangente, abordando tópicos sobre a manutenção operacional dos tripulantes e instrutores de voo.",CUMPRIDA,ANAC,55.0
29,45571,"Realizar gestões junto ao GRAESP, a fim de que este elabore um programa sobre o controle técnico e execução de manutenção.",NÃO CUMPRIDA,ANAC,55.0
30,45571,"Realizar gestões junto ao GRAESP, a fim de que este elabore um Manual de Gerenciamento da Segurança Operacional (MGSO) com objetivo de divulgar os conceitos de Segurança Operacional (Segurança de Voo), e de orientar e monitorar as atividades do GRAESP, possibilitando a identificação das falhas ativas e das condições latentes, assim como o gerenciamento dos riscos inerentes à missão do Grupamento.",CUMPRIDA,ANAC,55.0
31,45571,"Realizar gestões junto ao GRAESP, a fim de que este adeque a quantidade de mantenedores e inspetores na base Belém, de modo a atender à demanda dos serviços envolvendo as aeronaves em operação.",NÃO CUMPRIDA,ANAC,55.0
32,45573,"Realizar uma auditoria no operador da aeronave, mais especificamente nos setores de manutenção e operações, com o objetivo de verificar se os procedimentos estabelecidos no Manual Geral de Manutenção (MGM) e no Manual Geral de Operações (MGO) estão sendo cumpridos conforme aprovação do órgão regulador.",CUMPRIDA,ANAC,77.0
33,45573,"Divulgar às empresas de táxi-aéreo os ensinamentos colhidos nesta ocorrência, enfatizando a importância do cumprimento dos procedimentos estabelecidos em seus manuais, bem como o fiel cumprimento de todos os passos contidos no cheklist durante todas as fases de operação da aeronave.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,90.0
34,45580,"Atuar junto à Diretoria de Portos e Costas (DPC) da Marinha do Brasil, a fim de que aquela autoridade analise a pertinência de atualizar a NORMAM 27, visando clarificar o correto posicionamento da aeronave na Área de Toque e definir a que distância do helideque os obstáculos deverão receber um esquema de pintura ou outro dispositivo para ressaltá-los.",CUMPRIDA,ANAC,
35,45580,"Atuar junto à Diretoria de Portos e Costas (DPC) da Marinha do Brasil, a fim de que aquela autoridade analise a pertinência de atualizar a NORMAM 27, de modo a permitir a realização de estudo aeronáutico que vise o deslocamento do centro da área de toque de um helideque específico, quando seu operador julgar necessário, com a finalidade de aumentar a distância entre a área de toque e os obstáculos próximos.",CUMPRIDA,ANAC,
36,45580,"Atuar junto ao proprietário do navio Lochnagar, a fim de que aquele operador de aeródromo adapte o helideque instalado na embarcação ao constante na NORMAM 27 mais atualizada.",CUMPRIDA,ANAC,
37,45580,"Atuar junto a BHS Brazilian Helicopter Services Taxi Aéreo S.A., a fim de que aquele operador reavalie a adequabilidade de seus Manuais de Operação e de Gerenciamento de Segurança Operacional, sobretudo no que diz respeito aos procedimentos e cuidados necessários para a operação segura em helideques instalados em embarcações ou em plataformas marítimas.",CUMPRIDA,ANAC,
38,45588,"Reforçar  junto  aos  operadores  estrangeiros  que  operam segundo  o  RBAC  129,  da obrigação  de  se  comunicar  à  Autoridade  de  Investigação  Brasileira  (CENIPA),  de  toda  e   qualquer  ocorrência aeronáutica  em  espaço  aéreo  brasileiro  que  se  caracterize  como incidente, incidente grave ou acidente aeronáutico",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,154.0
39,45588,"Estudar  a  possibilidade  de  inserir  como  requisito  no  RBAC  129  a  obrigatoriedade  de   comunicação  oficial  dos operadores  estrangeiros  à  a  utoridade  de  investigação brasileira (CENIPA),  de  toda  e  qualquer  ocorrência  aeronáutica   em  espaço  aéreo  brasileiro  que  se  caracterize como incidente, incidente grave ou acidente aeronáutico.",CUMPRIDA,ANAC,154.0
40,45588,Divulgar  o  conteúdo  do  presente  relatório  para  os  operadores  brasileiros  regulados  pelo RBAC 121.,CUMPRIDA,ANAC,105.0
41,45588,"Divulgar, oficialmente, o conteúdo do presente relatório para a IBERIA Linhas Aéreas.",CUMPRIDA,ANAC,104.0
42,45596,"Divulgar os ensinamentos colhidos da presente investigação, no âmbito das escolas de formação de pilotos da aviação civil, incluindo os aeroclubes, buscando alertar os alunos sobre a necessidade do respeito aos limites operacionais das aeronaves, particularmente, relacionados com a utilização da Velocidade Máxima de Manobra (VA) durante o sobrevoo de regiões sob o efeito de turbulência.",CUMPRIDA,ANAC,213.0
43,45596,"Divulgar os ensinamentos colhidos da presente investigação, no âmbito dos pilotos que atuam na Aviação Geral, por intermédio da Associação Brasileira de Aviação Geral - ABAG, com o destaque para a fiel observância dos limites operacionais das aeronaves, dos aspectos meteorológicos e das regulamentações aeronáuticas em vigor, com vistas ao sucesso do planejamento dos voos, o que trará suporte para mais adequados processos decisórios, minimizando a possibilidade de que eventos dessa natureza se repitam.",CUMPRIDA,ANAC,92.0
44,45597,"Na revisão do RBHA 91, SUBPARTE K - OPERAÇÕES AÉREAS DE SEGURANÇA PÚBLICA E/OU DE DEFESA CIVIL, acrescentar requisitos mínimos operacionais semelhantes aos exigidos para as empresas de Táxi-Aéreo, principalmente aqueles relativos à implementação do SGSO, obrigatoriedade de MGO e outros, a fim de tornar esse tipo de operação mais segura.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,377.0
45,45597,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos operadores regidos de acordo com o RBHA 91, SUBPARTE K.",CUMPRIDA,ANAC,21.0
46,45618,"Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no Aeroclube de Blumenau.",CUMPRIDA,ANAC,170.0
47,45651,"Divulgar os ensinamentos colhidos na presente investigação, com o objetivo de alertar operadores e organizações de manutenção sobre importância de se verificar a correta execução dos serviços de manutenção realizados nas aeronaves.",CUMPRIDA,ANAC,25.0
48,45751,"Incrementar a atividade de fiscalização do cumprimento dos requisitos constantes no RBAC 61, item 61.21 (experiência recente), por parte dos pilotos que operam segundo o RBHA 91. Considerar, para este fim, o Sistema eletrônico de Registro de Voo e CIV, além das atividades rotineiras dos Inspetores de Aviação Civil.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,190.0
49,45751,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores, exploradores de aeronaves e aeroclubes.",CUMPRIDA,ANAC,56.0
50,45752,"Realizar uma auditoria no Aeroclube de Bragança Paulista, visando verificar se sua operação está em conformidade com os requisitos aplicáveis.",CUMPRIDA,ANAC,102.0
51,45752,"Atuar junto ao Aeroclube de Bragança Paulista, visando aperfeiçoar a supervisão de suas atividades, em especial no tocante à documentação das aeronaves.",CUMPRIDA,ANAC,584.0
52,45752,"Atuar junto ao Aeroclube de Bragança Paulista, visando aperfeiçoar o processo de instrução de voo, a fim de garantir o acompanhamento adequado do desempenho dos alunos, bem como definir critérios mais claros de aprovação nos voos.",CUMPRIDA,ANAC,599.0
53,45752,"Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva de ocorrências aeronáuticas envolvendo aeronaves do Aeroclube de Bragança Paulista, recomenda-se intensificar o nível de fiscalização sobre a qualidade da instrução ministrada.",CUMPRIDA,ANAC,351.0
54,45756,"REALIZAR UMA AUDITORIA NA EMPRESA PEMA - PEREIRA MACHADO TáXI AéREO LTDA., COM O INTUITO DE ANALISAR E PROPOR MELHORIAS NOS PROCESSOS SISTEMATIZADOS QUE VISEM AO APRIMORAMENTO DO CONHECIMENTO, HABILIDADES E TREINAMENTO DE PILOTOS.",CUMPRIDA,ANAC,
55,45757,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.",CUMPRIDA,ANAC,79.0
56,45757,"Reavaliar o nível da fiscalização realizada utilizando o sistema DCERTA, de modo a impedir as violações verificadas nesta investigação e expostas neste relatório.",NÃO CUMPRIDA,ANAC,69.0
57,45759,"Avaliar a eficácia do sistema DECERTA no que diz respeito à aceitação de planos de voo sem que sejam atendidos os requisitos de habilitação de pilotos, bem como, as restrições para a realização de voos visuais noturnos para fora dos limites de terminais.",CUMPRIDA,ANAC,75.0
58,45759,"Rever o processo de fabricação e montagem dos motores TIO-540-AJ1A, em busca de uma possível falha que possa concorrer para um erro de instalação dos componentes: P/N STD-1737 (ring external retaining), P/N 71664 (Gear Assy, Fuel pump idler), e P/N 70474 (Washer, fuel pump idler thrust).",AGUARDANDO RESPOSTA,LYCOMING,
59,45785,Notificar o fabricante da aeronave sobre o conteúdo da investigação do incidente e para que o mesmo certifique-se que os ganchos fornecidos estão em conformidade com a especificação do projeto.,CUMPRIDA,ANAC,420.0
60,45785,"Reavaliar a validação de certificação da aeronave para transporte de carga externa tendo em vista o Laudo Técnico nº 024/AMR/2012, elaborado pelo Departamento de Ciência e Tecnologia Aeroespacial (DCTA), o qual indicou uma utilização de material inadequado na articulação do gancho de carga existente na aeronave de modelo MI-171A envolvida na ocorrência aeronáutica em questão, adquirida pela empresa Atlas Táxi-Aéreo.",AGUARDANDO RESPOSTA,ANAC,
61,45785,Reavaliar as condições de operação padronizadas com carga externa utilizadas pela empresa Atlas Táxi-Aéreo.,CUMPRIDA,ANAC,184.0
62,45799,"Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no operador da aeronave e na oficina mantenedora da aeronave acidentada.",CUMPRIDA,ANAC,191.0
63,45819,"Prover recursos humanos, financeiros e materiais exclusivamente dedicados à estruturação de uma unidade aérea dentro do sistema organizacional da Polícia Civil, compondo-a, minimamente, com as seções de Manutenção, Apoio de Solo, Operações, Instrução e Segurança de Voo.",AGUARDANDO RESPOSTA,SSP-GO,
64,45819,"Implementar um programa de treinamento nas unidades aéreas de segurança pública, contemplando a formação inicial e o treinamento regular, de forma a manter a proficiência dos tripulantes.",AGUARDANDO RESPOSTA,SSP-GO,
65,45820,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves da aviação geral e da aviação de instrução.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,30.0
66,45820,"Atuar junto ao Aeroclube de Itanhaém, visando implantar uma política de segurança de voo/operacional, a fim de que seus instrutores, sócios e alunos passem a adotar uma atitude conservativa nas atividades aéreas quando as condições meteorológicas apresentaram-se desfavoráveis.",CUMPRIDA,ANAC,100.0
67,45820,"Atuar junto ao Aeroclube de Itanhaém, para garantir que este passe a incrementar o processo de acompanhamento dos voos de instrução, por parte do instrutor chefe ou o encarregado de operações de voo, a fim de assegurar-se que seus instrutores sigam as orientações da legislação em vigor no tocante ao planejamento dos voos.",CUMPRIDA,ANAC,100.0
68,45821,"Adotar procedimentos para divulgação deste relatório aos operadores de aeronaves de categoria privada (TPP), alertando quanto aos riscos relativos a inobservância das altitudes mínimas para o sobrevoo de áreas urbanas.",CUMPRIDA,ANAC,105.0
69,45821,Incrementar os mecanismos de fiscalização em eventos de grande monta de modo a coibir operações de aeronaves a margem dos regulamentos aeronáuticos em vigor e que colocam em risco a vida de terceiros.,CUMPRIDA,ANAC,351.0
70,45857,"DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE Investigação, A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAÇÃO DE ASAS ROTATIVAS SOBRE OS RISCOS INERENTES AOS TREINAMENTOS DE AUTORROTAÇÃO.",CUMPRIDA,ANAC,
71,45859,"Implantar medidas que assegurem que o operador da aeronave adote os adequados mecanismos de Supervisão Gerencial, no âmbito técnico, visando o adequado acompanhamento dos serviços de manutenção realizados em suas aeronaves.",NÃO CUMPRIDA,ANAC,476.0
72,45859,"Implantar medidas que assegurem que a oficina mantenedora da aeronave adote os adequados mecanismos de Supervisão Gerencial, no âmbito técnico, visando ao fiel cumprimento dos procedimentos estabelecidos no Manual de Serviços das aeronaves modelo Cessna 310, para efeito da regulagem do seu sistema de retração do trem de pouso principal.",CUMPRIDA,ANAC,96.0
73,45866,"Atuar junto ao Aeroclube de Tupi Paulista, SP, a fim de que sejam revisados os procedimentos de preparação dos voos de instrução, com especial atenção aos limites de peso e balanceamento das aeronaves.",CUMPRIDA,ANAC,600.0
74,45900,"Atuar junto aos aeroclubes, a fim de tornar obrigatória a confecção de uma regulamentação específica sobre a realização de voos por sócios, com acompanhamento operacional por parte do setor de operações, visando à garantia da segurança operacional.",CUMPRIDA,ANAC,659.0
75,45932,"Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores da aviação civil brasileira sobre os riscos decorrentes da não observância do constante no checklist apropriado a cada aeronave e nos regulamentos de tráfego aéreo, sobretudo em situações de emergência.",CUMPRIDA,ANAC,
76,45934,"Intensificar as ações no sentido de garantir e exigir a capacitação do pessoal de apoio nos serviços de rampa dos helipontos registrados e homologados, tendo em vista a necessidade de procedimentos rígidos de segurança nas operações de helicópteros no solo, durante o embarque e desembarque de passageiros, e sobre a importância da utilização de pessoal devidamente qualificado e treinado para o desempenho das atividades operacionais de rampa.",NÃO CUMPRIDA,ANAC,127.0
77,45934,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de helipontos homologados e registrados, e também aos proprietários, operadores de helicópteros que operem segundo o RBHA 91.",CUMPRIDA,ANAC,71.0
78,46026,Divulgar o conteúdo desse relatório em seus diversos eventos de prevenção de acidentes aeronáuticos.,CUMPRIDA DE FORMA ALTERNATIVA,ANAC,87.0
79,46042,"Atuar, junto ao operador da aeronave a fim de certificar-se do adequado preenchimento do Livro de Bordo da aeronave de matrícula PR-ARZ, com base no que dispõe a IAC 3151.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,273.0
80,46042,"Realizar auditoria técnica na oficina mantenedora da aeronave, com o objetivo de se certificar da adequação dos mecanismos de Supervisão Técnica adotados pelos seus Inspetores de Manutenção e RPQS, por ocasião da realização dos serviços de manutenção nos motores modelo PT6A-114/114.",CUMPRIDA,ANAC,244.0
81,46042,"Avaliar a mudança de classificação das aeronaves modelo Caravan C-208 para TIPO, tomando-se por base o grau de complexidade da sua operação por apenas um piloto.",NÃO CUMPRIDA,ANAC,261.0
82,46048,"REALIZAR UMA AUDITORIA NA FRETAX TÁXI AÉREO LTDA., A FIM DE ASSEGURAR-SE DA CONFORMIDADE DA MANUTENçãO DE SUAS AERONAVES, EM ESPECIAL NO TOCANTE AOS PNEUS E RODAS DO TREM DE POUSO.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,
83,46049,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves de asas rotativas.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,90.0
84,46092,Criar requisitos no RBAC 105 que propiciem a adequada separação entre aeronaves e paraquedistas durante os voos de lançamento.,NÃO CUMPRIDA,ANAC,1219.0
85,46092,"Adotar ações de fiscalização nas atividades de lançamento de paraquedistas, em especial no Campeonato Brasileiro de Paraquedismo, previsto para setembro de 2012 em Boituva- SP, visando verificar a segurança das operações aéreas.",NÃO CUMPRIDA,ANAC,1219.0
86,46092,"Reavaliar a fiscalização da atividade profissional do paraquedismo em campeonatos e eventos, bem como o acompanhamento diário da atividade amadora do esporte no Brasil.",NÃO CUMPRIDA,ANAC,672.0
87,46092,"Reavaliar o RBAC 105 descrevendo a necessidade de briefing detalhado entre tripulantes e paraquedistas, onde sejam esclarecidos aspectos relevantes de segurança, como os tipos de salto a serem realizados, normas de separação entre aeronave e paraquedista, e outros julgados oportunos.",CUMPRIDA,ANAC,639.0
88,46092,Reavaliar o RBAC 105 definindo e descrevendo as atribuições do responsável técnico previsto no RBAC 105.3.,CUMPRIDA,ANAC,639.0
89,46092,"Reavaliar imediatamente o modo de operação do Centro, estabelecendo padrões de segurança rigorosos e observando a legislação internacional já consagrada para a atividade esportiva.",AGUARDANDO RESPOSTA,CNP,
90,46092,"Promover o registro do Termo de Ajustamento de Conduta e o estrito cumprimento de um sistema de gestão do risco, visando à análise, sistemática e constante, do potencial de perigo inerente à atividade de paraquedismo amador e profissional.",AGUARDANDO RESPOSTA,CNP,
91,46093,"Atuar, junto ao operador, a fim de assegurar que ele adote mecanismos gerenciais que prevejam o devido planejamento de etapas, pousos e decolagens, de acordo com o que preconizam os manuais das aeronaves e a legislação em vigor.",CUMPRIDA,ANAC,
92,46093,"Divulgar à comunidade aeronáutica brasileira a importância do cumprimento dos procedimentos de voo estabelecidos pelos fabricantes, operadores e instituições de instrução, bem como dos aspectos relacionados à divisão de funções a bordo.",CUMPRIDA,ANAC,
93,46152,"Divulgar os ensinamentos colhidos na presente investigação, buscando alertar pilotos e operadores, sobretudo os da aviação executiva que atuam na região litorânea dos estados de São Paulo e Rio de Janeiro, sobre a importância do respeito aos requisitos mínimos de operação e às regras de voo visual.",CUMPRIDA,ANAC,
94,46170,"ATUALIZAR O MMA 58-6 - MANUAL DE CURSO DE INSTRUTOR DE VOO-INVA, DE 1 DE JULHO DE 1992, COM VISTAS AO APRIMORAMENTO DO PROCESSO DE INSTRUçãO DA AVIAçãO CIVIL BRASILEIRA, TENDO COMO BASE AS MELHORES PRáTICAS E ENSINAMENTOS ADQUIRIDOS PELOS PROFISSIONAIS DA AVIAçãO AO LONGO DOS ANOS, BEM COMO OS PRINCíPIOS DA SEGURANçA DE VOO.",CUMPRIDA,ANAC,
95,46170,"ATUAR JUNTO AO AEROCLUBE DE BEBEDOURO, A FIM DE GARANTIR QUE TODOS OS PROCEDIMENTOS E MANOBRAS EXECUTADOS DURANTES OS VOOS DE SUAS AERONAVES, SEJA EM INSTRUçãO OU NãO, CONSTEM NOS RESPECTIVOS MANUAIS DE VOO E OPERAçãO.",CUMPRIDA,ANAC,
96,46172,"ATUAR JUNTO à LASA PROSPECçõES S.A., A FIM DE QUE AQUELA ORGANIZAçãO APERFEIçOE SEUS MECANISMOS DE PLANEJAMENTO DE VOO E SUPERVISãO GERENCIAL, VISANDO INCREMENTAR OS NíVEIS DE COMPETêNCIA E SEGURANçA OPERACIONAL REQUERIDOS PARA O DESEMPENHO DAS ATIVIDADES PARA AS QUAIS TAL EMPRESA é CERTIFICADA.",AGUARDANDO RESPOSTA,ANAC,
97,46187,"Assegurar-se, com base na análise das falhas prematuras dos semi mancais laminados do rotor de cauda dos helicópteros Esquilo, das adequadas condições para a manutenção da Aeronavegabilidade Continuada dos modelos AS350 B3e e AS355 NP.",CUMPRIDA,ANAC,196.0
98,46187,"Emitir Diretriz de Aeronavegabilidade, com base no SIN nº 2482-S-64 expedido pela EUROCOPTER, visando ao estabelecimento de caráter obrigatório para o cumprimento dos procedimentos voltados para o monitoramento dos semi mancais laminados do rotor de cauda dos helicópteros Esquilo, modelos AS350 B3e e AS355 NP.",CUMPRIDA,ANAC,254.0
99,46187,"Assegurar-se, com base na análise das falhas prematuras dos semimancais laminados do rotor de cauda dos helicópteros Esquilo, das adequadas condições para a manutenção da Aeronavegabilidade Continuada dos modelos AS350 B3e e AS355 NP na frota brasileira.",CUMPRIDA,ANAC,938.0
100,46187,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves de asas rotativas.",CUMPRIDA DE FORMA ALTERNATIVA,ANAC,164.0
101,46199,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves de asas rotativas.",CUMPRIDA,ANAC,56.0
102,46199,"Interceder junto ao operador, de modo a orientar a implantação de processos e mecanismos formais e rígidos de gerenciamento dos voos que garantam uma antecipação de planejamento suficiente para os tripulantes, conforme prevê os regulamentos em vigor.",CUMPRIDA,ANAC,19.0
103,46199,"Interceder junto ao operador, a fim de que seja alocado um profissional, no setor de operações, com conhecimento técnico de cada tipo de aeronave operada, estabelecendo assim, mais um elo no gerenciamento de risco na operação das aeronaves.",CUMPRIDA,ANAC,19.0
104,46201,"Tendo em vista os fatos levantados durante a investigação e as ações tomadas pelo operador após o acidente, realizar auditoria técnica na Roraima Taxi Aéreo.",NÃO CUMPRIDA,ANAC,71.0
105,46202,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves que operam segundo o RBAC 135 e 91.",CUMPRIDA,ANAC,239.0
